"X.","Age","Sex","Job","Housing","Saving.accounts","Checking.account","Credit.amount","Duration","Purpose","Credit.Risks"
0,67,"male",2,"own",NA,"little",1169,6,"radio/TV",1
1,22,"female",2,"own","little","moderate",5951,48,"radio/TV",2
2,49,"male",1,"own","little",NA,2096,12,"education",1
3,45,"male",2,"free","little","little",7882,42,"furniture/equipment",1
4,53,"male",2,"free","little","little",4870,24,"car",2
5,35,"male",1,"free",NA,NA,9055,36,"education",1
6,53,"male",2,"own","quite rich",NA,2835,24,"furniture/equipment",1
7,35,"male",3,"rent","little","moderate",6948,36,"car",1
8,61,"male",1,"own","rich",NA,3059,12,"radio/TV",1
9,28,"male",3,"own","little","moderate",5234,30,"car",2
10,25,"female",2,"rent","little","moderate",1295,12,"car",2
11,24,"female",2,"rent","little","little",4308,48,"business",2
12,22,"female",2,"own","little","moderate",1567,12,"radio/TV",1
13,60,"male",1,"own","little","little",1199,24,"car",2
14,28,"female",2,"rent","little","little",1403,15,"car",1
15,32,"female",1,"own","moderate","little",1282,24,"radio/TV",2
16,53,"male",2,"own",NA,NA,2424,24,"radio/TV",1
17,25,"male",2,"own",NA,"little",8072,30,"business",1
18,44,"female",3,"free","little","moderate",12579,24,"car",2
19,31,"male",2,"own","quite rich",NA,3430,24,"radio/TV",1
20,48,"male",2,"own","little",NA,2134,9,"car",1
21,44,"male",2,"rent","quite rich","little",2647,6,"radio/TV",1
22,48,"male",1,"rent","little","little",2241,10,"car",1
23,44,"male",2,"own","moderate","moderate",1804,12,"car",1
24,26,"male",2,"own",NA,NA,2069,10,"furniture/equipment",1
25,36,"male",1,"own","little","little",1374,6,"furniture/equipment",1
26,39,"male",1,"own","little",NA,426,6,"radio/TV",1
27,42,"female",2,"rent","rich","rich",409,12,"radio/TV",1
28,34,"male",2,"own","little","moderate",2415,7,"radio/TV",1
29,63,"male",2,"own","little","little",6836,60,"business",2
30,36,"male",2,"own","rich","moderate",1913,18,"business",1
31,27,"male",2,"own","little","little",4020,24,"furniture/equipment",1
32,30,"male",2,"own","moderate","moderate",5866,18,"car",1
33,57,"male",1,"rent",NA,NA,1264,12,"business",1
34,33,"female",3,"own","little","rich",1474,12,"furniture/equipment",1
35,25,"male",1,"own","little","moderate",4746,45,"radio/TV",2
36,31,"male",2,"free","little",NA,6110,48,"education",1
37,37,"male",2,"own","little","rich",2100,18,"radio/TV",2
38,37,"male",2,"own","little","rich",1225,10,"domestic appliances",1
39,24,"male",2,"own","little","moderate",458,9,"radio/TV",1
40,30,"male",3,"own","quite rich",NA,2333,30,"radio/TV",1
41,26,"male",2,"own","quite rich","moderate",1158,12,"radio/TV",1
42,44,"male",1,"own","little","moderate",6204,18,"repairs",1
43,24,"male",2,"rent","moderate","little",6187,30,"car",1
44,58,"female",1,"free","little","little",6143,48,"car",2
45,35,"female",3,"own","little",NA,1393,11,"car",1
46,39,"male",2,"own","quite rich",NA,2299,36,"radio/TV",1
47,23,"female",0,"rent","quite rich","little",1352,6,"car",1
48,39,"male",1,"own","little",NA,7228,11,"car",1
49,28,"female",2,"own","moderate",NA,2073,12,"radio/TV",1
50,29,"male",1,"own",NA,"moderate",2333,24,"furniture/equipment",1
51,30,"male",3,"own","little","moderate",5965,27,"car",1
52,25,"male",2,"own","little",NA,1262,12,"radio/TV",1
53,31,"male",2,"own",NA,NA,3378,18,"car",1
54,57,"male",2,"free","little","moderate",2225,36,"car",2
55,26,"male",1,"own",NA,NA,783,6,"car",1
56,52,"male",3,"own",NA,"moderate",6468,12,"radio/TV",2
57,31,"female",2,"own","little",NA,9566,36,"radio/TV",1
58,23,"female",3,"own","little","rich",1961,18,"car",1
59,23,"female",1,"rent","little","little",6229,36,"furniture/equipment",2
60,27,"male",2,"own","little","moderate",1391,9,"business",1
61,50,"male",2,"own",NA,"moderate",1537,15,"radio/TV",1
62,61,"male",3,"free","little","moderate",1953,36,"business",2
63,25,"male",2,"own","little","moderate",14421,48,"business",2
64,26,"female",2,"own","little",NA,3181,24,"radio/TV",1
65,48,"male",2,"own",NA,NA,5190,27,"repairs",1
66,29,"female",2,"own","little",NA,2171,12,"radio/TV",1
67,22,"male",2,"own","rich","moderate",1007,12,"car",1
68,37,"male",2,"free","little",NA,1819,36,"education",2
69,25,"female",2,"own",NA,NA,2394,36,"radio/TV",1
70,30,"female",2,"own","little",NA,8133,36,"car",1
71,46,"male",1,"rent",NA,NA,730,7,"radio/TV",1
72,51,"male",3,"free","little","little",1164,8,"vacation/others",1
73,41,"female",1,"own","little","moderate",5954,42,"business",1
74,40,"male",3,"own",NA,"little",1977,36,"education",2
75,66,"male",3,"free","little","little",1526,12,"car",1
76,34,"male",2,"own","little","little",3965,42,"radio/TV",2
77,51,"male",2,"own","little","moderate",4771,11,"radio/TV",1
78,39,"male",1,"own",NA,NA,9436,54,"car",1
79,22,"male",2,"own","little","moderate",3832,30,"furniture/equipment",1
80,44,"female",2,"own",NA,NA,5943,24,"radio/TV",2
81,47,"male",2,"own","quite rich",NA,1213,15,"radio/TV",1
82,24,"female",1,"rent","moderate",NA,1568,18,"business",1
83,58,"female",1,"own","little","little",1755,24,"vacation/others",1
84,52,"male",1,"own","little","little",2315,10,"radio/TV",1
85,29,"female",3,"own","little",NA,1412,12,"business",1
86,27,"female",2,"own","little","moderate",1295,18,"furniture/equipment",1
87,47,"male",2,"free","moderate","moderate",12612,36,"education",2
88,30,"male",3,"own","moderate","little",2249,18,"car",1
89,28,"male",2,"own","little","little",1108,12,"repairs",2
90,56,"male",2,"own","little",NA,618,12,"radio/TV",1
91,54,"male",2,"own","little","little",1409,12,"car",1
92,33,"female",1,"own",NA,NA,797,12,"radio/TV",2
93,20,"male",2,"rent",NA,"rich",3617,24,"furniture/equipment",1
94,54,"male",2,"own","rich","moderate",1318,12,"car",1
95,58,"male",2,"rent","little","moderate",15945,54,"business",2
96,61,"female",2,"own",NA,NA,2012,12,"education",1
97,34,"male",2,"own","moderate","moderate",2622,18,"business",1
98,36,"male",2,"own","little","moderate",2337,36,"radio/TV",1
99,36,"male",3,"rent",NA,"moderate",7057,20,"car",1
100,41,"male",1,"rent","moderate",NA,1469,24,"car",1
101,24,"male",2,"rent","little","moderate",2323,36,"radio/TV",1
102,24,"female",2,"own","little",NA,932,6,"radio/TV",1
103,35,"male",2,"rent","little","moderate",1919,9,"furniture/equipment",1
104,26,"male",2,"rent",NA,NA,2445,12,"car",1
105,39,"male",3,"own","little","moderate",11938,24,"vacation/others",2
106,39,"male",3,"own","little",NA,6458,18,"car",2
107,32,"male",2,"own","little","moderate",6078,12,"car",1
108,30,"female",2,"own",NA,"little",7721,24,"furniture/equipment",1
109,35,"male",2,"own","quite rich","moderate",1410,14,"business",1
110,31,"male",2,"own","moderate","moderate",1449,6,"business",1
111,23,"female",2,"rent","little","rich",392,15,"education",1
112,28,"male",1,"rent","little","moderate",6260,18,"car",1
113,25,"female",2,"own","little",NA,7855,36,"car",2
114,35,"male",2,"own","quite rich","little",1680,12,"radio/TV",1
115,47,"male",2,"own",NA,NA,3578,48,"radio/TV",1
116,30,"female",3,"own",NA,"little",7174,42,"radio/TV",2
117,27,"female",2,"rent",NA,"little",2132,10,"furniture/equipment",1
118,23,"female",2,"own","quite rich","little",4281,33,"furniture/equipment",2
119,36,"male",3,"own","quite rich","moderate",2366,12,"car",1
120,25,"female",2,"own","little","little",1835,21,"radio/TV",2
121,41,"female",3,"rent","little",NA,3868,24,"car",1
122,24,"male",1,"rent","little",NA,1768,12,"furniture/equipment",1
123,63,"male",2,"free","little","rich",781,10,"car",1
124,27,"female",2,"rent",NA,"moderate",1924,18,"furniture/equipment",2
125,30,"male",2,"own","little","little",2121,12,"car",1
126,40,"male",1,"own","little","little",701,12,"radio/TV",1
127,30,"male",2,"own","little","moderate",639,12,"repairs",2
128,34,"male",3,"own","little","moderate",1860,12,"car",1
129,29,"female",2,"own","little","little",3499,12,"car",2
130,24,"female",2,"own",NA,"moderate",8487,48,"car",1
131,29,"male",2,"own","little","little",6887,36,"education",2
132,27,"male",1,"own","little",NA,2708,15,"furniture/equipment",1
133,47,"male",2,"free","little",NA,1984,18,"furniture/equipment",1
134,21,"female",2,"own","moderate",NA,10144,60,"radio/TV",1
135,38,"female",2,"own",NA,NA,1240,12,"radio/TV",1
136,27,"male",2,"own","rich",NA,8613,27,"car",1
137,66,"male",1,"own","quite rich","moderate",766,12,"radio/TV",2
138,35,"male",2,"own",NA,"moderate",2728,15,"radio/TV",1
139,44,"female",1,"rent","little","rich",1881,12,"radio/TV",1
140,27,"male",0,"own","rich","rich",709,6,"car",1
141,30,"female",3,"own","little","moderate",4795,36,"radio/TV",1
142,27,"male",3,"own","little","little",3416,27,"radio/TV",1
143,22,"male",2,"own","little","little",2462,18,"furniture/equipment",2
144,23,"female",2,"own","little",NA,2288,21,"furniture/equipment",1
145,30,"male",2,"own","moderate","moderate",3566,48,"business",1
146,39,"female",2,"own","little","little",860,6,"car",1
147,51,"female",2,"own","moderate",NA,682,12,"car",1
148,28,"male",2,"own","little","little",5371,36,"furniture/equipment",1
149,46,"male",2,"own","rich",NA,1582,18,"radio/TV",1
150,42,"male",2,"free","moderate",NA,1346,6,"radio/TV",1
151,38,"male",2,"own","little",NA,1924,10,"radio/TV",1
152,24,"male",2,"own","little","rich",5848,36,"radio/TV",1
153,29,"female",2,"rent","rich","moderate",7758,24,"car",1
154,36,"male",3,"rent","moderate","moderate",6967,24,"business",1
155,20,"female",2,"rent","little","little",1282,12,"furniture/equipment",2
156,48,"male",2,"own","moderate","little",1288,9,"repairs",1
157,45,"male",1,"own","little","little",339,12,"education",1
158,38,"male",2,"own","moderate","moderate",3512,24,"car",1
159,34,"male",1,"own",NA,NA,1898,6,"radio/TV",1
160,36,"male",2,"own","moderate",NA,2872,24,"radio/TV",1
161,30,"female",2,"own","little",NA,1055,18,"car",1
162,36,"male",2,"own","quite rich",NA,1262,15,"domestic appliances",1
163,70,"male",3,"free","little","moderate",7308,10,"car",1
164,36,"male",2,"own","quite rich",NA,909,36,"car",1
165,32,"male",2,"own","quite rich",NA,2978,6,"furniture/equipment",1
166,33,"female",2,"own","little","little",1131,18,"furniture/equipment",2
167,20,"female",2,"own","rich","moderate",1577,11,"furniture/equipment",1
168,25,"female",2,"rent","little",NA,3972,24,"furniture/equipment",1
169,31,"male",2,"own","little","moderate",1935,24,"business",2
170,33,"male",2,"rent","little","little",950,15,"car",2
171,26,"female",2,"own","little",NA,763,12,"furniture/equipment",1
172,34,"female",3,"own","little","moderate",2064,24,"furniture/equipment",2
173,33,"male",2,"own","little","moderate",1414,8,"radio/TV",1
174,26,"male",2,"own","little","little",3414,21,"education",2
175,53,"female",3,"own",NA,NA,7485,30,"car",2
176,42,"male",2,"own","little","little",2577,12,"furniture/equipment",1
177,52,"male",2,"own","quite rich","little",338,6,"radio/TV",1
178,31,"male",3,"rent","little",NA,1963,12,"radio/TV",1
179,65,"male",2,"own","little","little",571,21,"car",1
180,28,"male",2,"own","little",NA,9572,36,"business",2
181,30,"male",3,"own","little","moderate",4455,36,"business",2
182,40,"male",1,"own",NA,"little",1647,21,"car",2
183,50,"male",2,"own","rich",NA,3777,24,"furniture/equipment",1
184,36,"male",2,"own","little","moderate",884,18,"car",2
185,31,"male",2,"own","little",NA,1360,15,"radio/TV",1
186,74,"female",3,"free","little","moderate",5129,9,"car",2
187,68,"male",0,"free","little","moderate",1175,16,"car",1
188,20,"male",2,"own","moderate","little",674,12,"radio/TV",2
189,33,"female",2,"own","little","moderate",3244,18,"furniture/equipment",1
190,54,"male",3,"own","rich",NA,4591,24,"business",2
191,34,"male",1,"free","moderate","moderate",3844,48,"business",2
192,36,"male",2,"own","little","moderate",3915,27,"business",2
193,29,"male",2,"rent","little",NA,2108,6,"radio/TV",1
194,21,"male",2,"rent","moderate","moderate",3031,45,"radio/TV",2
195,34,"female",3,"own","little","moderate",1501,9,"education",2
196,28,"female",2,"own","little",NA,1382,6,"radio/TV",1
197,27,"female",2,"rent","moderate","moderate",951,12,"furniture/equipment",2
198,36,"male",2,"free",NA,"moderate",2760,24,"car",1
199,40,"male",3,"own","little","moderate",4297,18,"furniture/equipment",2
200,52,"male",2,"own","quite rich",NA,936,9,"education",1
201,27,"male",1,"own","little","little",1168,12,"car",1
202,26,"male",2,"own","little",NA,5117,27,"business",1
203,21,"male",2,"rent","little","little",902,12,"education",2
204,38,"male",1,"own","little",NA,1495,12,"car",1
205,38,"male",3,"free","little","little",10623,30,"car",1
206,43,"male",2,"own","little",NA,1935,12,"furniture/equipment",1
207,26,"male",2,"own","little","moderate",1424,12,"domestic appliances",1
208,21,"male",1,"own","little","little",6568,24,"business",1
209,55,"male",2,"own","rich",NA,1413,12,"car",1
210,33,"male",2,"own",NA,NA,3074,9,"radio/TV",1
211,45,"female",1,"own",NA,NA,3835,36,"radio/TV",1
212,50,"male",2,"own","little","little",5293,27,"business",2
213,66,"male",3,"own","little","rich",1908,30,"business",2
214,51,"male",2,"own",NA,NA,3342,36,"radio/TV",1
215,39,"female",1,"own",NA,"moderate",932,6,"education",1
216,31,"male",2,"own","little","little",3104,18,"business",1
217,23,"male",2,"own","little","rich",3913,36,"radio/TV",1
218,24,"male",1,"rent","little","little",3021,24,"furniture/equipment",1
219,64,"female",2,"own","little",NA,1364,10,"car",1
220,26,"male",1,"own","little","moderate",625,12,"radio/TV",1
221,23,"female",2,"rent",NA,"little",1200,12,"education",1
222,30,"male",2,"own","little",NA,707,12,"radio/TV",1
223,32,"male",2,"own",NA,NA,2978,24,"business",1
224,30,"male",2,"own","little",NA,4657,15,"car",1
225,27,"male",2,"own","little",NA,2613,36,"repairs",1
226,27,"male",2,"own","rich","moderate",10961,48,"radio/TV",2
227,53,"male",3,"free","little","little",7865,12,"furniture/equipment",2
228,22,"male",2,"own","little",NA,1478,9,"radio/TV",2
229,22,"male",2,"free","little","little",3149,24,"furniture/equipment",1
230,26,"male",2,"own","little","rich",4210,36,"radio/TV",2
231,51,"male",1,"free","quite rich",NA,2507,9,"car",1
232,35,"male",2,"own","moderate",NA,2141,12,"radio/TV",1
233,25,"male",1,"own","little","moderate",866,18,"radio/TV",1
234,42,"male",1,"own","little",NA,1544,4,"radio/TV",1
235,30,"male",3,"own","little","little",1823,24,"radio/TV",2
236,23,"male",0,"own",NA,"moderate",14555,6,"car",2
237,61,"male",1,"rent","moderate","moderate",2767,21,"business",2
238,35,"female",2,"own","little",NA,1291,12,"radio/TV",1
239,39,"male",2,"own","little","little",2522,30,"radio/TV",1
240,29,"female",2,"own",NA,"little",915,24,"car",2
241,51,"male",2,"own","little",NA,1595,6,"radio/TV",1
242,24,"male",2,"free","little","little",4605,48,"car",2
243,27,"female",2,"own","little",NA,1185,12,"business",1
244,35,"female",1,"own","quite rich",NA,3447,12,"education",1
245,25,"male",2,"own","little",NA,1258,24,"business",1
246,52,"male",2,"own","little",NA,717,12,"radio/TV",1
247,35,"male",2,"rent","moderate",NA,1204,6,"car",1
248,26,"male",2,"own","little","rich",1925,24,"furniture/equipment",1
249,22,"female",2,"rent","little",NA,433,18,"radio/TV",2
250,39,"female",1,"own","rich","little",666,6,"car",1
251,46,"female",1,"own","little","rich",2251,12,"furniture/equipment",1
252,24,"female",2,"own","little","moderate",2150,30,"car",2
253,35,"male",2,"own","moderate",NA,4151,24,"furniture/equipment",1
254,24,"male",2,"own",NA,"moderate",2030,9,"furniture/equipment",1
255,27,"male",1,"own",NA,"moderate",7418,60,"radio/TV",1
256,35,"male",1,"own","little",NA,2684,24,"radio/TV",1
257,29,"male",2,"free","little","little",2149,12,"radio/TV",2
258,23,"female",2,"own","moderate",NA,3812,15,"car",1
259,57,"female",1,"own","moderate",NA,1154,11,"radio/TV",1
260,27,"male",2,"own","little","little",1657,12,"furniture/equipment",1
261,55,"female",2,"own","little","little",1603,24,"radio/TV",1
262,36,"male",3,"free","little","little",5302,18,"car",1
263,57,"female",1,"free","little",NA,2748,12,"education",1
264,32,"male",1,"own","little",NA,1231,10,"car",1
265,37,"male",2,"own","little","moderate",802,15,"radio/TV",2
266,36,"male",2,"own",NA,NA,6304,36,"business",1
267,38,"female",2,"own","little",NA,1533,24,"radio/TV",1
268,45,"male",3,"own","little","little",8978,14,"car",2
269,25,"male",2,"own",NA,NA,999,24,"radio/TV",1
270,32,"male",2,"own",NA,NA,2662,18,"car",1
271,37,"female",2,"rent","quite rich",NA,1402,12,"furniture/equipment",1
272,36,"male",3,"free",NA,"moderate",12169,48,"car",1
273,28,"male",2,"own","little","moderate",3060,48,"radio/TV",2
274,34,"male",1,"own","little","little",11998,30,"repairs",2
275,32,"male",2,"own","little",NA,2697,9,"radio/TV",1
276,26,"female",2,"own","little",NA,2404,18,"radio/TV",1
277,49,"male",1,"own",NA,"little",1262,12,"furniture/equipment",1
278,32,"female",2,"own","little",NA,4611,6,"furniture/equipment",2
279,29,"male",3,"rent","moderate",NA,1901,24,"radio/TV",1
280,23,"male",2,"rent","rich",NA,3368,15,"car",1
281,50,"male",2,"own","little",NA,1574,12,"furniture/equipment",1
282,49,"male",1,"own",NA,"rich",1445,18,"radio/TV",1
283,63,"male",2,"own",NA,NA,1520,15,"furniture/equipment",1
284,37,"male",2,"own","moderate","moderate",3878,24,"car",1
285,35,"female",1,"own","little","little",10722,47,"car",1
286,26,"male",2,"own","little","little",4788,48,"car",1
287,31,"male",3,"free","moderate","moderate",7582,48,"vacation/others",1
288,49,"female",2,"own","little","moderate",1092,12,"radio/TV",1
289,48,"male",2,"own","little","little",1024,24,"radio/TV",2
290,26,"male",2,"own","little",NA,1076,12,"business",1
291,28,"male",3,"rent","little","moderate",9398,36,"car",2
292,44,"female",3,"free","little","little",6419,24,"car",1
293,56,"male",2,"free","little","rich",4796,42,"car",1
294,46,"male",3,"own",NA,NA,7629,48,"business",1
295,26,"female",2,"own","little","moderate",9960,48,"furniture/equipment",2
296,20,"female",2,"rent",NA,NA,4675,12,"car",1
297,45,"male",1,"own",NA,NA,1287,10,"car",1
298,43,"male",2,"own","little",NA,2515,18,"furniture/equipment",1
299,32,"male",2,"own","rich","moderate",2745,21,"furniture/equipment",1
300,54,"female",0,"own","little",NA,672,6,"car",1
301,42,"female",2,"own","little","moderate",3804,36,"radio/TV",2
302,37,"male",1,"own",NA,"rich",1344,24,"car",2
303,49,"male",2,"own","little","little",1038,10,"car",1
304,44,"male",2,"free","quite rich",NA,10127,48,"car",2
305,33,"male",2,"own","rich",NA,1543,6,"furniture/equipment",1
306,24,"female",1,"rent",NA,NA,4811,30,"car",1
307,33,"male",1,"own","moderate","little",727,12,"radio/TV",2
308,24,"female",2,"own","little","moderate",1237,8,"furniture/equipment",2
309,22,"male",1,"rent","little","moderate",276,9,"car",1
310,40,"male",0,"free",NA,"moderate",5381,48,"vacation/others",1
311,25,"male",2,"own","moderate",NA,5511,24,"furniture/equipment",1
312,26,"female",2,"own","little","rich",3749,24,"furniture/equipment",1
313,25,"male",1,"own","little","moderate",685,12,"car",2
314,29,"male",1,"own",NA,"rich",1494,4,"car",1
315,31,"male",2,"own","little","little",2746,36,"furniture/equipment",2
316,38,"male",1,"own","little","little",708,12,"furniture/equipment",1
317,48,"female",1,"own",NA,"moderate",4351,24,"furniture/equipment",1
318,32,"male",2,"own","little",NA,701,12,"education",1
319,27,"female",1,"own","little","little",3643,15,"furniture/equipment",1
320,28,"male",3,"own","little","moderate",4249,30,"car",2
321,32,"male",2,"own","little","little",1938,24,"radio/TV",2
322,34,"male",3,"free","little","little",2910,24,"car",1
323,28,"male",2,"own","rich","little",2659,18,"furniture/equipment",1
324,36,"female",2,"own","little",NA,1028,18,"car",1
325,39,"male",1,"own","little","little",3398,8,"car",1
326,49,"male",2,"rent",NA,NA,5801,12,"furniture/equipment",1
327,34,"female",2,"own","rich",NA,1525,24,"car",1
328,31,"male",2,"own","little","rich",4473,36,"radio/TV",1
329,28,"male",2,"own","little","moderate",1068,6,"radio/TV",1
330,75,"male",3,"free","little","little",6615,24,"car",1
331,30,"female",2,"own","moderate",NA,1864,18,"education",2
