"X.","Age","Sex","Job","Housing","Saving.accounts","Checking.account","Credit.amount","Duration","Purpose","Credit.Risks"
662,50,"male",2,"own","little",NA,2241,21,"furniture/equipment",1
663,35,"male",3,"own","little","moderate",1050,6,"furniture/equipment",1
664,50,"female",1,"own","little","rich",1047,6,"education",1
665,27,"male",3,"own","little",NA,6314,24,"vacation/others",1
666,34,"male",2,"own","rich","moderate",3496,30,"furniture/equipment",1
667,27,"female",2,"own","little",NA,3609,48,"business",1
668,43,"male",2,"rent","little","little",4843,12,"car",2
669,47,"male",2,"own","little","rich",3017,30,"radio/TV",1
670,27,"male",1,"own","moderate",NA,4139,24,"business",1
671,31,"male",2,"own","moderate",NA,5742,36,"business",1
672,42,"male",3,"own","little",NA,10366,60,"car",1
673,24,"male",2,"own","quite rich",NA,2080,6,"car",1
674,41,"male",1,"own","quite rich",NA,2580,21,"business",2
675,26,"female",3,"rent","little",NA,4530,30,"radio/TV",1
676,33,"male",2,"own","little",NA,5150,24,"furniture/equipment",1
677,24,"male",2,"own","moderate","moderate",5595,72,"radio/TV",2
678,64,"male",1,"rent","little","little",2384,24,"radio/TV",1
679,26,"female",2,"own","little",NA,1453,18,"radio/TV",1
680,56,"female",2,"own","little",NA,1538,6,"education",1
681,37,"male",2,"free",NA,NA,2279,12,"radio/TV",1
682,33,"male",2,"own","little",NA,1478,15,"radio/TV",1
683,47,"male",2,"free","little",NA,5103,24,"radio/TV",1
684,31,"male",1,"own","moderate","moderate",9857,36,"business",1
685,34,"male",2,"free",NA,NA,6527,60,"car",1
686,27,"male",2,"own",NA,"rich",1347,10,"radio/TV",1
687,30,"male",2,"free","moderate","moderate",2862,36,"car",1
688,35,"male",2,"own","moderate",NA,2753,9,"radio/TV",1
689,31,"male",2,"own","rich","little",3651,12,"car",1
690,25,"male",2,"own","little","little",975,15,"furniture/equipment",1
691,25,"female",1,"own","moderate","moderate",2631,15,"repairs",1
692,29,"male",2,"own","moderate","moderate",2896,24,"radio/TV",1
693,44,"male",1,"own",NA,"little",4716,6,"car",1
694,28,"male",2,"own","little",NA,2284,24,"radio/TV",1
695,50,"male",2,"rent","quite rich",NA,1236,6,"car",1
696,29,"male",2,"own","little","moderate",1103,12,"radio/TV",1
697,38,"female",0,"own","little",NA,926,12,"car",1
698,24,"male",2,"own","little",NA,1800,18,"radio/TV",1
699,40,"male",3,"rent","little","rich",1905,15,"education",1
700,29,"female",1,"rent","quite rich",NA,1123,12,"furniture/equipment",2
701,46,"male",2,"free","little","little",6331,48,"car",2
702,47,"female",2,"free","moderate","rich",1377,24,"radio/TV",1
703,41,"male",2,"own","moderate","moderate",2503,30,"business",1
704,32,"female",2,"own","little","moderate",2528,27,"business",1
705,35,"female",2,"free","quite rich",NA,5324,15,"car",1
706,24,"male",2,"own","moderate","moderate",6560,48,"car",2
707,25,"female",2,"rent","little","moderate",2969,12,"furniture/equipment",2
708,25,"female",2,"own","little","moderate",1206,9,"radio/TV",1
709,37,"male",1,"own","little","moderate",2118,9,"radio/TV",1
710,32,"male",3,"own","quite rich",NA,629,18,"radio/TV",1
711,35,"female",2,"free","little","little",1198,6,"education",2
712,46,"male",3,"own",NA,NA,2476,21,"car",1
713,25,"male",1,"own","little","little",1138,9,"radio/TV",1
714,27,"male",3,"own","little","moderate",14027,60,"car",2
715,63,"male",2,"own",NA,NA,7596,30,"car",1
716,40,"male",2,"own",NA,NA,3077,30,"radio/TV",1
717,32,"male",3,"free","little",NA,1505,18,"radio/TV",1
718,31,"male",2,"own",NA,"rich",3148,24,"radio/TV",1
719,31,"male",2,"own","moderate","moderate",6148,20,"car",1
720,34,"male",3,"own","little","rich",1337,9,"radio/TV",2
721,24,"female",2,"rent","rich","moderate",433,6,"education",2
722,24,"female",1,"own","little","little",1228,12,"car",2
723,66,"female",1,"own","quite rich","moderate",790,9,"radio/TV",1
724,21,"female",2,"rent","little",NA,2570,27,"car",2
725,41,"female",1,"own","rich",NA,250,6,"car",1
726,47,"male",1,"own","quite rich",NA,1316,15,"radio/TV",1
727,25,"female",2,"rent","little","little",1882,18,"radio/TV",2
728,59,"female",2,"rent","little","moderate",6416,48,"business",2
729,36,"male",2,"own","rich","rich",1275,24,"business",1
730,33,"male",2,"own","little","moderate",6403,24,"radio/TV",1
731,21,"male",1,"rent","little","little",1987,24,"radio/TV",2
732,44,"female",1,"own","little","moderate",760,8,"radio/TV",1
733,28,"female",2,"rent","rich",NA,2603,24,"car",1
734,37,"female",2,"own","little",NA,3380,4,"car",1
735,29,"female",0,"own",NA,"moderate",3990,36,"domestic appliances",1
736,23,"female",3,"rent","little","moderate",11560,24,"car",2
737,35,"male",1,"own","moderate","little",4380,18,"car",1
738,45,"male",3,"own","little",NA,6761,6,"car",1
739,26,"female",1,"rent","moderate","moderate",4280,30,"business",2
740,32,"male",2,"own","moderate","little",2325,24,"car",1
741,23,"male",1,"own","little","moderate",1048,10,"radio/TV",1
742,41,"male",2,"own",NA,NA,3160,21,"radio/TV",1
743,22,"male",2,"own","quite rich","little",2483,24,"furniture/equipment",1
744,30,"male",3,"own",NA,"little",14179,39,"furniture/equipment",1
745,28,"male",1,"own","little","little",1797,13,"business",1
746,23,"female",2,"rent","little","little",2511,15,"car",1
747,37,"female",1,"own","little","little",1274,12,"car",2
748,26,"male",2,"own",NA,NA,5248,21,"car",1
749,33,"male",2,"own","little",NA,3029,15,"car",1
750,49,"female",2,"own","little","little",428,6,"furniture/equipment",1
751,23,"female",1,"own","little","little",976,18,"car",2
752,23,"female",1,"rent","moderate","moderate",841,12,"business",1
753,25,"female",2,"own","little",NA,5771,30,"radio/TV",1
754,55,"male",2,"free","rich",NA,1555,12,"repairs",2
755,32,"female",2,"rent",NA,"little",1285,24,"car",2
756,74,"male",0,"own","little","rich",1299,6,"car",1
757,39,"male",2,"free",NA,"rich",1271,15,"radio/TV",2
758,31,"male",2,"own","little",NA,1393,24,"car",1
759,35,"male",2,"own","little","little",691,12,"car",2
760,59,"female",2,"own",NA,NA,5045,15,"car",1
761,24,"female",2,"rent","little","little",2124,18,"furniture/equipment",2
762,24,"male",1,"own","little","little",2214,12,"radio/TV",1
763,30,"male",3,"free",NA,NA,12680,21,"car",2
764,27,"male",2,"own","moderate",NA,2463,24,"car",1
765,40,"male",1,"own","little","moderate",1155,12,"radio/TV",1
766,31,"male",1,"own","little","little",3108,30,"furniture/equipment",2
767,31,"female",2,"rent",NA,NA,2901,10,"car",1
768,28,"male",2,"rent","little","moderate",3617,12,"furniture/equipment",1
769,63,"male",1,"own","little",NA,1655,12,"radio/TV",1
770,26,"female",2,"rent",NA,"little",2812,24,"car",1
771,25,"female",3,"own","little","little",8065,36,"education",2
772,36,"male",3,"own","little",NA,3275,21,"car",1
773,52,"male",2,"own","moderate",NA,2223,24,"radio/TV",1
774,66,"male",0,"free","quite rich","rich",1480,12,"car",1
775,25,"female",2,"rent",NA,"little",1371,24,"car",2
776,37,"male",2,"own","little",NA,3535,36,"car",1
777,25,"female",2,"own","little","little",3509,18,"radio/TV",1
778,38,"male",3,"own","rich",NA,5711,36,"car",1
779,67,"female",2,"own","little","moderate",3872,18,"repairs",1
780,25,"male",2,"own","little","moderate",4933,39,"radio/TV",2
781,60,"male",2,"own","rich",NA,1940,24,"car",1
782,31,"male",1,"own","little","moderate",1410,12,"education",1
783,23,"female",1,"own","moderate","moderate",836,12,"car",2
784,60,"male",3,"own",NA,"moderate",6468,20,"car",1
785,35,"male",1,"own","rich","moderate",1941,18,"business",1
786,40,"male",2,"own","quite rich",NA,2675,22,"radio/TV",1
787,38,"male",2,"own",NA,NA,2751,48,"car",1
788,50,"male",2,"free","little","moderate",6224,48,"education",2
789,27,"male",2,"own","little","little",5998,40,"education",2
790,39,"female",2,"own","little","moderate",1188,21,"business",2
791,41,"male",3,"own",NA,NA,6313,24,"car",1
792,27,"male",2,"own",NA,NA,1221,6,"furniture/equipment",1
793,51,"male",2,"free","little","rich",2892,24,"furniture/equipment",1
794,32,"male",2,"rent","quite rich",NA,3062,24,"furniture/equipment",1
795,22,"female",2,"rent","moderate",NA,2301,9,"furniture/equipment",1
796,51,"male",2,"free",NA,"little",7511,18,"car",2
797,22,"female",1,"rent","little",NA,1258,12,"furniture/equipment",1
798,54,"male",2,"own",NA,NA,717,24,"car",1
799,35,"male",0,"own",NA,"moderate",1549,9,"car",1
800,54,"male",2,"free","little",NA,1597,24,"education",1
801,48,"female",1,"rent","little","moderate",1795,18,"radio/TV",1
802,24,"female",2,"own","little","little",4272,20,"furniture/equipment",1
803,35,"male",2,"own",NA,NA,976,12,"radio/TV",1
804,24,"female",0,"rent",NA,"moderate",7472,12,"car",1
805,24,"male",2,"own","little","little",9271,36,"car",2
806,26,"male",1,"own","little","moderate",590,6,"radio/TV",1
807,65,"male",2,"own",NA,NA,930,12,"radio/TV",1
808,55,"male",3,"free","little","moderate",9283,42,"car",1
809,26,"female",0,"rent","little","moderate",1778,15,"car",2
810,26,"male",2,"own","little","moderate",907,8,"business",1
811,28,"male",1,"own","little","moderate",484,6,"radio/TV",1
812,24,"male",2,"own","little","little",9629,36,"car",2
813,54,"male",2,"own","little","little",3051,48,"domestic appliances",2
814,46,"male",2,"free","little","little",3931,48,"car",2
815,54,"female",2,"rent","little","moderate",7432,36,"car",1
816,62,"male",2,"own","quite rich",NA,1338,6,"domestic appliances",1
817,24,"female",2,"rent","little",NA,1554,6,"radio/TV",1
818,43,"male",3,"own","little","little",15857,36,"vacation/others",1
819,26,"male",2,"own","little","little",1345,18,"radio/TV",2
820,27,"male",2,"own","little",NA,1101,12,"car",1
821,24,"male",2,"own","little","rich",3016,12,"radio/TV",1
822,41,"male",2,"own","little","little",2712,36,"furniture/equipment",2
823,47,"male",1,"own","little","little",731,8,"car",1
824,35,"male",3,"own","little",NA,3780,18,"furniture/equipment",1
825,30,"male",2,"own","little","little",1602,21,"car",1
826,33,"female",2,"rent","little","little",3966,18,"car",2
827,36,"male",2,"own","little",NA,4165,18,"business",2
828,47,"male",2,"free",NA,"little",8335,36,"car",2
829,38,"male",2,"free",NA,"moderate",6681,48,"business",1
830,44,"male",2,"own","quite rich",NA,2375,24,"business",1
831,23,"female",2,"rent","little","little",1216,18,"car",2
832,29,"male",2,"rent","little","little",11816,45,"business",2
833,42,"female",2,"own",NA,"moderate",5084,24,"radio/TV",1
834,25,"female",1,"own","little","rich",2327,15,"radio/TV",2
835,48,"male",2,"own","little","little",1082,12,"car",2
836,21,"female",2,"own",NA,NA,886,12,"radio/TV",1
837,23,"female",1,"rent","little",NA,601,4,"furniture/equipment",1
838,63,"male",2,"own","little","little",2957,24,"car",1
839,46,"male",2,"own","little",NA,2611,24,"radio/TV",1
840,29,"male",2,"own","little","little",5179,36,"furniture/equipment",2
841,28,"male",1,"own","little",NA,2993,21,"car",1
842,23,"female",2,"own","little",NA,1943,18,"repairs",2
843,50,"male",2,"own","little",NA,1559,24,"business",1
844,47,"male",2,"own","little",NA,3422,18,"furniture/equipment",1
845,35,"male",2,"own",NA,"moderate",3976,21,"furniture/equipment",1
846,68,"male",2,"rent",NA,NA,6761,18,"car",2
847,28,"male",2,"own","little",NA,1249,24,"car",1
848,59,"male",2,"own","little","little",1364,9,"radio/TV",1
849,57,"male",1,"own","little","little",709,12,"radio/TV",2
850,33,"male",2,"rent","little","little",2235,20,"car",2
851,43,"male",2,"own",NA,NA,4042,24,"car",1
852,35,"male",2,"free","little",NA,1471,15,"radio/TV",1
853,32,"male",1,"free","little","little",1442,18,"car",2
854,45,"male",2,"own","little",NA,10875,36,"car",1
855,33,"male",2,"own","moderate",NA,1474,24,"car",1
856,40,"female",2,"own",NA,NA,894,10,"education",1
857,28,"male",2,"free","little",NA,3343,15,"furniture/equipment",1
858,29,"female",2,"own","little","little",3959,15,"car",2
859,26,"male",2,"rent","moderate",NA,3577,9,"car",1
860,27,"male",2,"own","rich",NA,5804,24,"car",1
861,28,"male",2,"own","little",NA,2169,18,"business",2
862,35,"female",2,"own","little","little",2439,24,"radio/TV",2
863,32,"male",1,"own","rich",NA,4526,27,"furniture/equipment",1
864,25,"male",1,"rent","little",NA,2210,10,"furniture/equipment",2
865,20,"female",2,"rent","quite rich",NA,2221,15,"furniture/equipment",1
866,27,"female",2,"own","little","little",2389,18,"radio/TV",1
867,42,"male",2,"own","little",NA,3331,12,"furniture/equipment",1
868,37,"male",2,"own",NA,NA,7409,36,"business",1
869,24,"female",2,"rent","little","little",652,12,"furniture/equipment",1
870,40,"female",2,"own","quite rich",NA,7678,36,"furniture/equipment",1
871,46,"male",2,"own","little","rich",1343,6,"car",1
872,26,"male",2,"own","moderate","little",1382,24,"business",1
873,24,"female",2,"own",NA,NA,874,15,"domestic appliances",1
874,29,"male",1,"own","little","little",3590,12,"furniture/equipment",1
875,40,"female",2,"own","rich","moderate",1322,11,"car",1
876,36,"male",3,"free","little","little",1940,18,"radio/TV",1
877,28,"male",2,"own","little",NA,3595,36,"radio/TV",1
878,27,"male",3,"free","little","little",1422,9,"car",2
879,36,"male",2,"own",NA,NA,6742,30,"radio/TV",1
880,38,"male",3,"own","little",NA,7814,24,"car",1
881,48,"male",2,"free",NA,NA,9277,24,"car",1
882,36,"male",2,"own",NA,"moderate",2181,30,"car",1
883,65,"female",0,"own","little",NA,1098,18,"radio/TV",1
884,43,"male",2,"own","little","moderate",4057,24,"furniture/equipment",2
885,53,"female",2,"own","little","little",795,12,"education",2
886,34,"male",2,"own",NA,"moderate",2825,24,"business",1
887,23,"male",2,"own","little","moderate",15672,48,"business",2
888,34,"male",3,"own","little",NA,6614,36,"car",1
889,40,"male",2,"rent",NA,NA,7824,28,"car",1
890,43,"male",3,"own","little","little",2442,27,"business",1
891,46,"male",2,"own","little",NA,1829,15,"radio/TV",1
892,38,"male",1,"own","little","little",2171,12,"car",1
893,34,"male",2,"own","little","moderate",5800,36,"car",1
894,29,"male",2,"own",NA,NA,1169,18,"radio/TV",1
895,31,"male",3,"own",NA,NA,8947,36,"car",1
896,28,"female",3,"rent","little","little",2606,21,"radio/TV",1
897,35,"female",2,"own","rich",NA,1592,12,"furniture/equipment",1
898,33,"female",1,"rent",NA,NA,2186,15,"furniture/equipment",1
899,42,"male",2,"own","little","little",4153,18,"furniture/equipment",2
900,43,"male",2,"rent","little","little",2625,16,"car",2
901,44,"male",2,"own",NA,NA,3485,20,"car",1
902,42,"male",2,"free",NA,NA,10477,36,"car",1
903,40,"male",2,"rent",NA,NA,1386,15,"radio/TV",1
904,36,"male",3,"own","little",NA,1278,24,"radio/TV",1
905,20,"male",3,"rent","little","little",1107,12,"radio/TV",1
906,24,"male",1,"own",NA,"little",3763,21,"car",1
907,27,"male",2,"own",NA,"moderate",3711,36,"education",1
908,46,"female",1,"own","little",NA,3594,15,"car",1
909,33,"female",1,"own",NA,"moderate",3195,9,"car",1
910,34,"female",2,"own","little",NA,4454,36,"radio/TV",1
911,25,"female",1,"own","little","moderate",4736,24,"furniture/equipment",2
912,25,"female",2,"own",NA,"moderate",2991,30,"radio/TV",1
913,28,"male",2,"own","rich",NA,2142,11,"business",1
914,31,"male",2,"rent","little","little",3161,24,"business",2
915,32,"female",3,"own","little","moderate",18424,48,"vacation/others",2
916,32,"male",2,"own","moderate",NA,2848,10,"car",1
917,68,"male",3,"own","little","little",14896,6,"car",2
918,33,"male",2,"own","moderate","little",2359,24,"furniture/equipment",2
919,39,"male",3,"rent","little","little",3345,24,"furniture/equipment",2
920,28,"female",2,"own","little",NA,1817,18,"furniture/equipment",1
921,37,"male",3,"own","quite rich",NA,12749,48,"radio/TV",1
922,22,"female",2,"rent","little","little",1366,9,"radio/TV",2
923,30,"male",2,"rent","little","moderate",2002,12,"car",1
924,55,"male",2,"own","little","little",6872,24,"furniture/equipment",2
925,46,"male",2,"own","little","little",697,12,"car",2
926,21,"female",2,"rent","little","little",1049,18,"furniture/equipment",1
927,39,"male",2,"free","little","little",10297,48,"car",2
928,58,"male",2,"own",NA,NA,1867,30,"radio/TV",1
929,43,"male",1,"own","little","little",1344,12,"car",1
930,24,"male",1,"own","little","little",1747,24,"furniture/equipment",1
931,22,"female",2,"own","little","moderate",1670,9,"radio/TV",2
932,30,"male",2,"own","little",NA,1224,9,"car",1
933,42,"male",2,"own","quite rich",NA,522,12,"radio/TV",1
934,23,"female",2,"own","little","little",1498,12,"radio/TV",1
935,30,"male",3,"own","moderate","moderate",1919,30,"radio/TV",2
936,28,"female",1,"own","little","rich",745,9,"radio/TV",2
937,30,"male",3,"rent","little","moderate",2063,6,"radio/TV",1
938,42,"male",2,"free","little","moderate",6288,60,"education",2
939,46,"male",3,"own",NA,NA,6842,24,"car",1
940,45,"male",3,"own",NA,NA,3527,12,"car",1
941,31,"male",1,"own","little",NA,1546,10,"car",1
942,31,"male",2,"own",NA,NA,929,24,"furniture/equipment",1
943,42,"male",1,"own","little",NA,1455,4,"car",1
944,46,"female",2,"rent","little","little",1845,15,"furniture/equipment",1
945,30,"female",2,"own","quite rich","moderate",8358,48,"car",1
946,30,"male",2,"free","quite rich","little",3349,24,"furniture/equipment",2
947,38,"male",3,"own",NA,NA,2859,12,"car",1
948,43,"male",1,"own","little",NA,1533,18,"furniture/equipment",2
949,31,"male",2,"own","moderate",NA,3621,24,"radio/TV",2
950,40,"male",0,"own","little","moderate",3590,18,"business",1
951,24,"male",2,"own","little","little",2145,36,"business",2
952,28,"female",2,"rent","quite rich","moderate",4113,24,"car",2
953,26,"female",3,"own","little",NA,10974,36,"furniture/equipment",2
954,29,"female",2,"own","little","little",1893,12,"car",1
955,57,"female",3,"rent","rich","little",1231,24,"radio/TV",1
956,49,"male",1,"own",NA,"rich",3656,30,"radio/TV",1
957,37,"male",1,"own","little","moderate",1154,9,"radio/TV",1
958,45,"male",1,"own","little","little",4006,28,"car",2
959,30,"male",2,"free","moderate","moderate",3069,24,"furniture/equipment",1
960,30,"male",2,"rent","little",NA,1740,6,"radio/TV",1
961,47,"male",2,"own","little","moderate",2353,21,"car",1
962,29,"male",2,"own",NA,NA,3556,15,"car",1
963,35,"male",2,"own","quite rich",NA,2397,24,"radio/TV",2
964,22,"male",1,"own","little","moderate",454,6,"repairs",1
965,26,"female",2,"own",NA,"moderate",1715,30,"radio/TV",1
966,23,"male",1,"own","quite rich","moderate",2520,27,"radio/TV",2
967,54,"female",3,"rent","little",NA,3568,15,"radio/TV",1
968,29,"male",2,"rent",NA,NA,7166,42,"radio/TV",1
969,40,"male",1,"own","little","little",3939,11,"car",1
970,22,"male",2,"own","moderate","moderate",1514,15,"repairs",1
971,43,"male",1,"own","little",NA,7393,24,"car",1
972,29,"female",0,"rent","little","little",1193,24,"car",2
973,36,"male",2,"rent","little","little",7297,60,"business",2
974,33,"female",2,"own","little",NA,2831,30,"radio/TV",1
975,57,"female",1,"own","quite rich","rich",1258,24,"radio/TV",1
976,64,"female",2,"own","little","moderate",753,6,"radio/TV",1
977,42,"male",2,"own",NA,"moderate",2427,18,"business",1
978,47,"male",1,"own","little",NA,2538,24,"car",2
979,25,"male",2,"rent","moderate","moderate",1264,15,"car",2
980,49,"male",2,"own","little","moderate",8386,30,"furniture/equipment",2
981,33,"male",3,"rent","little",NA,4844,48,"business",2
982,28,"female",3,"own","moderate","rich",2923,21,"car",1
983,26,"male",2,"own","little","little",8229,36,"car",2
984,30,"male",1,"own","little",NA,2028,24,"furniture/equipment",1
985,25,"female",2,"rent","little","little",1433,15,"furniture/equipment",1
986,33,"male",2,"own","little","rich",6289,42,"business",1
987,64,"female",2,"own","moderate",NA,1409,13,"radio/TV",1
988,29,"male",3,"free","little","little",6579,24,"car",1
989,48,"male",1,"own","little","moderate",1743,24,"radio/TV",1
990,37,"male",1,"own",NA,NA,3565,12,"education",1
991,34,"male",1,"own","moderate",NA,1569,15,"radio/TV",1
992,23,"male",1,"rent",NA,"little",1936,18,"radio/TV",1
993,30,"male",3,"own","little","little",3959,36,"furniture/equipment",1
994,50,"male",2,"own",NA,NA,2390,12,"car",1
995,31,"female",1,"own","little",NA,1736,12,"furniture/equipment",1
996,40,"male",3,"own","little","little",3857,30,"car",1
997,38,"male",2,"own","little",NA,804,12,"radio/TV",1
998,23,"male",2,"free","little","little",1845,45,"radio/TV",2
999,27,"male",2,"own","moderate","moderate",4576,45,"car",1
